eighthBlock,Source,Context,Max Line Width,English,Francais,German
huntingKnifeBook,items,Item Book,,Охотничий нож Книга,,
ironBootsSchematic,items,Item Book,,Железныее сапоги Схема,,
ironChestArmorSchematic,items,Item Book,,Железная броня схема,,
ironGlovesSchematic,items,Item Book,,Бронированные перчатки Схема,,
ironHelmetSchematic,items,Item Book,,Бронированный шлем схема,,
ironLegArmorSchematic,items,Item Book,,Бронированные Брюки (Схема),,
leatherBootsSchematic,items,Item Book,,Кожаные Сапоги схема,,
leatherPantsSchematic,items,Item Book,,Кожаные штаны Схема,,
leatherJacketSchematic,items,Item Book,,Кожаная курта схема,,
leatherHatSchematic,items,Item Book,,Кожаная шляпа Схема,,
leatherGlovesSchematic,items,Item Book,,Кожаные перчатки Схема,,
macDyverBook,items,Item Book,,Крафт из металлолома Книга,,
pistolBook,items,Item Book,,Пистолет Книга,,
reloadingWeeklyBook,items,Item Book,,Патроны дробовика книга,,
smgSchematics,items,Item Book,,SMG схема,,
sledgehammerSchematic,items,Item Book,,Кувалда схема ,,
theEnforcerMagazine,items,Item Book,,Журнал Энфорцер,,
urbanCombatBook,items,Item Book,,Рукопашный Бой книга,,
huntingBook,items,Item Book,,Охота Книга,,
setInConcrete,items,Item Book,,Бетон книга,,
minibikesForDumbshits,items,Item Book,,Байк схема,,
sniperRifleSchematic,items,Item Book,,Винтовка Схема,,
pumpShotgunSchematic,items,Item Book,,Ружье схема,,
huntingRifleSchematic,items,Item Book,,Охотничья винтовка Схема,,
shotgunShellSchematic,items,Item Book,,Патроны для Дробовика схема,,
sniperRifleMoldSchematics,items,Item Book,,Шаблон Винтовки Схема,,
huntingRifleMoldSchematics,items,Item Book,,Шаблон Охотничья винтовка схема,,
smgMoldSchematics,items,Item Book,,Шаблон SMG схема,,
pistolMoldSchematics,items,Item Book,,Шаблон пистолета схема,,
shotgunMoldSchematics,items,Item Book,,Шаблон ружья схема,,
ballCap,items,Item Clothes,,Бейсболка,,
bandana,items,Item Clothes,,Бандана,,
bandanaBlack,items,Item Clothes,,Бандана,,
bandanaBlue,items,Item Clothes,,Бандана,,
bandanaBrown,items,Item Clothes,,Бандана,,
bandanaGreen,items,Item Clothes,,Бандана,,
bandanaRed,items,Item Clothes,,Бандана,,
blackDenimPants,items,Item Clothes,,Джинсы,,
brownDenimPants,items,Item Clothes,,Джинсы,,
cigar,items,Item Clothes,,Сигары,,
cigarette,items,Item Clothes,,Сигареты,,
clothBoots,items,Item Clothes,,Сапоги,,
clothGloves,items,Item Clothes,,Перчатки,,
clothHat,items,Item Clothes,,Шляпа,,
clothJacket,items,Item Clothes,,Куртка,,
clothPants,items,Item Clothes,,Брюки,,
cowboyHat,items,Item Clothes,,Шляпа,,
denimJacket,items,Item Clothes,,Джинсовая куртка,,
denimPants,items,Item Clothes,,Брюки,,
footballHelmet,items,Item Clothes,,Шлем,,
gasMask,items,Item Clothes,,Противогаз,,
goggles,items,Item Clothes,,Очки,,
ironBoots,items,Item Clothes,,Железные сапоги,,
ironChestArmor,items,Item Clothes,,Броня,,
ironGloves,items,Item Clothes,,Железные Перчатки,,
ironHelmet,items,Item Clothes,,Железный шлем,,
ironLegArmor,items,Item Clothes,,Железные штаны,,
kevlarHelmet,items,Item Clothes,,Кевларовый Шлем,,
leatherBoots,items,Item Clothes,,Кожаные ботинки,,
leatherGloves,items,Item Clothes,,Кожаные перчатки,,
leatherHat,items,Item Clothes,,Кожаная шляпа,,
leatherJacket,items,Item Clothes,,Кожаная броня,,
leatherPants,items,Item Clothes,,Штаны кожа,,
miningHelmet,items,Item Clothes,,Шлем шахтера,,
nightvisionGoggles,items,Item Clothes,,Ночное виденье,,
plaidShirt,items,Item Clothes,,Рубашка,,
plaidShirtBlack,items,Item Clothes,,Рубашка,,
plaidShirtBlue,items,Item Clothes,, Рубашка,,
plaidShirtBrown,items,Item Clothes,,Рубашка,,
plaidShirtGreen,items,Item Clothes,,Рубашка,,
plaidShirtRed,items,Item Clothes,,Рубашка,,
plantFiberPants,items,Item Clothes,,штаны из растений,,
redDenimPants,items,Item Clothes,,Брюки,,
scrapBoots,items,Item Clothes,,Сапоги из лома,,
scrapChestArmor,items,Item Clothes,,Броня из лома,,
scrapGloves,items,Item Clothes,,Перчатки  из лома,,
scrapHelmet,items,Item Clothes,,Шлем  из лома,,
scrapLegArmor,items,Item Clothes,,Штаны  из лома,,
shades,items,Item Clothes,, Темные Очки,,
skullCap,items,Item Clothes,,Шапка,,
skullCapBlack,items,Item Clothes,,Шапка,,
skullCapBlue,items,Item Clothes,,Шапка,,
skullCapBrown,items,Item Clothes,,Шапка,,
skullCapGreen,items,Item Clothes,,Шапка,,
skullCapRed,items,Item Clothes,,Шапка,,
swatHelmet,items,Item Clothes,,Шлем Спецназа,,
tankTopBlue,items,Item Clothes,,Майка ,,
tankTopGreen,items,Item Clothes,,Майка,,
tankTopPurple,items,Item Clothes,,Майка,,
tankTopRed,items,Item Clothes,,Майка,,
tankTopWhite,items,Item Clothes,,Майка,,
wornBoots,items,Item Clothes,,Сапоги,,
santaHat,items,Item Clothing,,Шляпа Свнты,,
cornSeed,items,Item Farming,,Семяна кукурузы,,
baconAndEggs,items,Item Food,,Яичница с Беконом,,
bakedPotato,items,Item Food,,Печеный картофель,,
beer,items,Item Food,,Пиво,,
blueberryPie,items,Item Food,,Черничный пирог,,
bottledRiverWater,items,Item Food,,Грязная Вода,,
bottledWater,items,Item Food,,Бонаква,,
canBeef,items,Item Food,,Консерва Говядина,,
canBoiledWater,items,Item Food,,Кипяченая вода,,
canCatfood,items,Item Food,,Кошачий Корм,,
canChicken,items,Item Food,,Консерва с Курятиной,,
canChili,items,Item Food,,Банка Чили,,
canDogfood,items,Item Food,,Собачий Корм,,
canHam,items,Item Food,,Консерва с Витчиной,,
canLamb,items,Item Food,,Консерва с Бараниной,,
canMiso,items,Item Food,,Мисо Суп,,
canMurkyWater,items,Item Food,,Банка с грязной водой,,
canPasta,items,Item Food,,Консерва Спагемми,,
canPears,items,Item Food,,Горох Консервированный,,
canPeas,items,Item Food,,Консерва Горошка,,
canSalmon,items,Item Food,,Консервированный Лосось,,
canSoup,items,Item Food,,Консервированный суп,,
canStock,items,Item Food,,Равиоли,,
canTuna,items,Item Food,,Консервированный Тунец,,
coffee,items,Item Food,,Кофе,,
coffeeBeans,items,Item Food,,Кофейные зерна,,
cornBread,items,Item Food,,Кукурузный хлеб,,
cornMeal,items,Item Food,,Кукурузная мука,,
cornOnTheCob,items,Item Food,,Кукуруза в початках ,,
egg,items,Item Food,,Яйцо,,
eggboiled,items,Item Food,,Вареное яйцо,,
foodHoney,items,Item Food,, Банка меда,,
foodYuccaFruit,items,Item Food,,Юкка,,
foodYuccaJuice,items,Item Food,,Юккасок,,
meatCookedStick,items,Item Food,,Кролик,,
moldyBread,items,Item Food,,Заплесневелый хлеб,,
pork,items,Item Food,,Свинина,,
porkBoiled,items,Item Food,,Буженина,,
porkCharred,items,Item Food,,Подгоревшая Свинина,,
porkGrilled,items,Item Food,,Свинина на гриле,,
potato,items,Item Food,,Картофель,,
rabbitBoiled,items,Item Food,,Отварной кролик,,
rabbitCharred,items,Item Food,,Обгоревшие Кролик ,,
rabbitGrilled,items,Item Food,,Кролик гриль,,
rabbitOnAStick,items,Item Food,,Шашлык из кролика,,
rabbitStew,items,Item Food,,Рагу из кролика,,
shamSandwich,items,Item Food,,Старый Сэндвич,,
vegetableStew,items,Item Food,,Овощное рагу ,,
venison,items,Item Food,,Оленина,,
venisonBoiled,items,Item Food,,Вареная оленина ,,
venisonCharred,items,Item Food,,Обгоревшая оленина,,
venisonGrilled,items,Item Food,,Гриль из Оленины,,
venisonStew,items,Item Food,,Оленина тушеная,,
44MagBullet,items,Item Gun,,Магнум пуля,,
44Magnum,items,Item Gun,,Магнум,,
44MagnumCylinder,items,Item Gun,,Барабан от Магнума,,
44MagnumFrame,items,Item Gun,,Оправа Магнума,,
44MagnumGrip,items,Item Gun,,Рукоять Магнума,,
44MagnumParts,items,Item Gun,,Запчасти Магнума ,,
buckshot,items,Item Gun,,Картечь,,
crossbow,items,Item Gun,,Арбалет,,
crossbowBolt,items,Item Gun,,Арбалетный болт,,
glassWindowMold,items,Item Gun,,Шаблон Оконного Стекла,,
gunPowder,items,Item Gun,,Пороховой заряд,,
huntingRifle,items,Item Gun,,Охотничья Винтовка,,
huntingRifleBarrel,items,Item Gun,Ствол Охотничьего Ружья,,
huntingRifleBarrelMold,Шаблон Ствола Охотничьего Ружья,,
huntingRifleBolt,items,Item Gun,,Механизм Охотничьего Ружья,,
huntingRifleBoltMold,items,Item Gun,,Шаблон Механизма Охотничьего Ружья,,
huntingRifleStock,items,Item Gun,,Приклад Охотничьего Ружья,,
m136,items,Item Gun,,М-136 Ракетомет,,
m136Rocket,items,Item Gun,,М-136 Ракета,,
mp5,items,Item Gun,,SMG,,
mp5_barrel,items,Item Gun,,Ствола SMG,,
mp5_barrel_mold,items,Item Gun,,Шаблон ствола SMG,,
mp5_stock,items,Item Gun,,Приклад SMG,,
mp5_stock_mold,items,Item Gun,,Шаблон приклада SMG ,,
mp5_receiver,items,Item Gun,,глушитель SMG,,
mp5_receiver_mold,items,Item Gun,,шаблон глушителя SMG ,,
pipeBomb,items,Item Gun,,Самодельная Бомба,,
pistol,items,Item Gun,,Пистолет ,,
pistol_barrel,items,Item Gun,,Ствол пистолета,,
pistol_barrel_mold,items,Item Gun,,Шаблон ствола пистолета,,
PumpShotgun,items,Item Gun,,Дробовик,,
PumpShotgun_barrel,items,Item Gun,,Ствол дробовика,,
PumpShotgun_barrel_mold,items,Item Gun,,Шаблон ствола дробовика,,
PumpShotgun_shortBarrel,items,Item Gun,,Ствол обреза дробовика,,
PumpShotgun_shortBarrel_mold,items,Item Gun,,Шаблон ствола обреза дробовика,,
PumpShotgun_shortStock,items,Item Gun,,Приклад обреза дробовика,,
PumpShotgun_stock,items,Item Gun,,Приклад дробовика,,
sawedOffPumpShotgun,items,Item Gun,,Обрез,,
shotgunShell,items,Item Gun,,Патроны для Дробовика,,
sniperRifle,items,Item Gun,,Винтовка,,
sniperRifleBarrel,items,Item Gun,,Ствол винтовки,,
sniperRifle_barrel_1_mold,items,Item Gun,,Шаблон ствола винтовки,,
sniperRifle_barrel_2,items,Item Gun,,Цевье винтовки ,,
sniperRifle_barrel_2_mold,items,Item Gun,,Шаблон цевья винтовки,,
sniperRifle_scopeFrame,items,Item Gun,,Прицел винтовки,,
sniperRifle_scopeFrame_mold,items,Item Gun,,Шаблон прицела винтовки,,
sniperRifle_stock,items,Item Gun,,Приклад винтовки,,
sniperRifle_stock_mold,items,Item Gun,,Шаблон приклада винтовки,,
sniperRifle_triggerHousing,items,Item Gun,,Ствол винтовки,,
sniperRifle_triggerHousing_Mold,items,Item Gun,,Шаблон ствола винтовки,,
sniperRifleParts,items,Item Gun,,Винтовка запчасти,,
bloodBag,items,Item Medical,,Донорская кровь,,
bloodDrawKit,items,Item Medical,,Набор для сбора крови,,
firstAidKit,items,Item Medical,,Аптечка,,
splint,items,Item Medical,, Шина,,
vitamins,items,Item Medicine,,Витамины,,
clubBarbed,items,Item Melee,,Колючая дубина,,
clubIron,items,Item Melee,,Усиленная Железом Дубина,,
clubSpiked,items,Item Melee,,Шипованная Дубина,,
clubWood,items,Item Melee,,Деревянная Дубина,,
auger,items,Item Tool,,Бур,,
chainsaw,items,Item Tool,,Бензопила,,
fireaxe,items,Item Tool,,Пожарный Топор,,
hammer,items,Item Tool,,Молоток,,
hoe,items,Item Tool,,Железная мотыга,,
hoeSteel,items,Item Tool,,Стальная мотыга,,
nailgun,items,Item Tool,,Гвоздомет,,
pickaxeIron,items,Item Tool,,Железный топор,,
pickaxeSteel,items,Item Tool,,Стальной топор,,
shovel,items,Item Tool,,Железная лопата,,
sledgehammer,items,Item Tool,,Кувалда,,
stoneAxe,items,Item Tool,,Каменный топор 1,,
stoneShovel,items,Item Tool,,Каменная лопата,,
pistol_parts,items,Item Gun,,Запчасти пистолета,,
pistol_receiver,items,Item Gun,,Ствол пистолета,,
PumpShotgun_parts,items,Item Gun,,Шаблон запчастей дробовика,,
PumpShotgun_receiver,items,Item Gun,,Ствол дробовика,,
pistol_parts_mold,items,Item Gun,,Шаблон запчастей пистолета,,
pistol_receiver_mold,items,Item Gun,,Шаблон ствола пистолета,,
PumpShotgun_receiver_mold,items,Item Gun,,Шаблон ствола дробовика,,
dynamite,items,Item Gun,,Динамит,,
blunderbuss,items,Item Gun,,Мушкет,,
blunderbussAmmo,items,Item Gun,,Патроны для мушкета,,
pistol_grip,items,Item Gun,,Рукоять пистолета,,
mp5_parts,items,Item Gun,,Запчасти SMG,,
huntingRifleParts,items,Item Gun,,Запчасти охотничьего ружья,,
flashlight02,items,Item Gun,,Фонарик,,
augerBlade,items,Item,,Бур (Лезвие),,
smallEngine,items,Item,,Двигатель,,
handleBars,items,Item,,Обрешотка,,
tazasStoneaxe,items,Item Melee,,Каменный топор2,,
aviatorGoggles,items,Item Clothes,,Очки летсика,,
animalPig,,Entity,,Свинья,,
animalStag,,Entity,,Олень,,
burntzombie,,Entity,,Обгоревший зомби,,
car_Blue,,Entity,,Багажник синей машины,,
car_Orange,,Entity,,Багажник оранжевой машины,,
car_Red,,Entity,,Decayed Red Sedan,,
car_White,,Entity,,Decayed White Sedan,,
fatzombie,,Entity,,Bloated Walker,,
fatzombiecop,,Entity,,Infected Police Officer,,
hornet,,Entity,,Hornet,,
snowzombie01,,Entity,,Frigid Hunter,,
snowzombie02,,Entity,,Frozen Lumberjack,,
snowzombie03,,Entity,,Frostbitten Worker,,
spiderzombie,,Entity,,Spider Zombie,,
zombie02,,Entity,,Feral Walker,,
zombie04,,Entity,,Infected Survivor,,
zombie05,,Entity,,Reanimated Corpse,,
zombie06,,Entity,,Nude Walker,,
zombie07,,Entity,,Festering Corpse,,
zombiecrawler,,Entity,,Crawler,,
zombiedog,,Entity,,Zombie Dog,,
zombiegal01,,Entity,,Plagued Nurse,,
zombiegal02,,Entity,,Infected Woman,,
zombiegal03,,Entity,,Infected Lady,,
zombiegal04,,Entity,,Decayed Cheerleader,,
btnTakeAll,,Item,,Take All,,
lblAttributeAccuracy,,Item Info,,Accuracy,,
lblAttributeBlockDamage,,Item Info,,Block Damage,,
lblAttributeBluntProtection,,Item Info,,Blunt Defense,,
lblAttributeBulletProtection,,Item Info,,Bullet Defense,,
lblAttributeDamageText,,Item Info,,damage,,
lblAttributeDegradationMin,,Item Info,,Min Degradation,,
lblAttributeDegradationRate,,Item Info,,Degradation Rate,,
lblAttributeDegradationText,,Item Info,,,,
lblAttributeEntityDamage,,Item Info,,Entity Damage,,
lblAttributeExplosiveProtection,,Item Info,,Explosive Defense,,
lblAttributeFalloffRange,,Item Info,,Falloff Range,,
lblAttributeFalloffRangeText,,Item Info,,meters,,
lblAttributeGainFood,,Item Info,,Gain Fullness,,
lblAttributeGainGas,,Item Info,,Gain Gas,,
lblAttributeGainHealth,,Item Info,,Gain Health,,
lblAttributeGainSickness,,Item Info,,Gain Sickness,,
lblAttributeGainStamina,,Item Info,,Gain Stamina,,
lblAttributeGainWater,,Item Info,,Gain Water,,
lblAttributeGainWellness,,Item Info,,Gain Wellness,,
lblAttributeMeleeProtection,,Item Info,,Melee Defense,,
lblAttributePunctureProtection,,Item Info,,Puncture Defense,,
lblAttributeDegradationMax,,Item Info,,Max Degradation,,
lblAttributesTitle,,Item Info,,\n[00ff00]ATTRIBUTES:[-]\n,,
lblBagSmllRng,,Item Info,,Bag Smell Range: [e9db68]{0} m[-]\n,,
lblBagSmllStr,,Item Info,,Bag Smell Str.: [e9db68]{0} m[-]\n,,
lblBeltSmllRng,,Item Info,,Belt Smell Range: [e9db68]{0} m[-]\n,,
lblBeltSmllStr,,Item Info,,Belt Smell Str.: [e9db68]{0} m[-]\n,,
lblBlkDmg,,Item Info,,Block Damage: [e9db68]{0}[-]\n,,
lblBlkRpr,,Item Info,,Block Repair: [e9db68]{0}[-]\n,,
lblBookDesc,,Item Info,,Description: [e9db68]{0}[-]\n,,
lblBookTitle,,Item Info,,Title: [e9db68]{0}[-]\n,,
lblBrnTime,,Item Info,,Burn Time: [e9db68]{0}m {1}s[-]\n,,
lblDurability,,Item Info,,Durability: [e9db68]{0}/{1}[-]\n,,
lblEffect,,Item Info,,Effect: [e9db68]{0}[-]\n,,
lblEffectChance,,Item Info,,Effect Chance: [e9db68]{0}%[-]\n,,
lblEffectDescription,,Item Info,,Effect Description: [e9db68]{0}[-]\n,,
lblEntDmg,,Item Info,,Entity Damage: [e9db68]{0}[-]\n,,
lblForgeMat,,Item Info,,Forge Material: [e9db68]{0}{1}[-]\n,,
lblForgeWeight,,Item Info,,Forge Weight: [e9db68]{0}[-]\n,,
lblFullness,,Item Info,,Fullness,,
lblGassiness,,Item Info,,Gassiness,,
lblGearSlot,,Item Info,,Gear Slot: [e9db68]{0}[-]\n,,
lblGroup,,Item Info,,Group(s): {0}\n,,
lblHardness,,Item Info,,Hardness: [e9db68]{0}[-]\n,,
lblHealth,,Item Info,,Health,,
lblHydration,,Item Info,,Hydration,,
lblMass,,Item Info,,Mass: [e9db68]{0}[-]\n,,
lblMaxLoad,,Item Info,,Max Load: [e9db68]{0}[-]\n,,
lblProtection,,Item Info,,{0} Protection: [e9db68]{1}%[-]\n,,
lblQuality,,Item Info,,Quality: {0}\n,,
lblQualityAverage,,Item Info,,Good {0},,
lblQualityBroken,,Item Info,,Broken {0},,
lblQualityDamaged,,Item Info,,Faulty {0},,
lblQualityFlawless,,Item Info,,Great {0},,
lblQualityGreat,,Item Info,,Fine {0},,
lblQualityLegendary,,Item Info,,Flawless {0},,
lblQualityPoor,,Item Info,,Poor {0},,
lblRepairAmount,,Item Info,,[00ff00]Repair Amount: {0}[-]\n,,
lblRepairItem,,Item Info,,Repair item: ,,
lblRepairItems,,Item Info,,Repair items:\n,,
lblRmvEffect,,Item Info,,Removes Effect: [e9db68]{0}[-]\n,,
lblStamina,,Item Info,,Stamina,,
lblWellness,,Item Info,,Wellness,,
lblContextActionTake,,Item Context Menu,,Take,,
lblContextActionDrop,,Item Context Menu,,Drop,,
lblContextActionExamine,,Item Context Menu,,Examine,,
lblContextActionCraft,,Item Context Menu,,Craft,,
lblContextActionEquip,,Item Context Menu,,Equip,,
lblContextActionWear,,Item Context Menu,,Wear,,
lblContextActionHeal,,Item Context Menu,,Use,,
lblContextActionEat,,Item Context Menu,,Eat,,
lblContextActionDrink,,Item Context Menu,,Drink,,
lblContextActionRead,,Item Context Menu,,Read,,
lblContextActionScrap,,Item Context Menu,,Scrap,,
lblContextActionCompare,,Item Context Menu,,Compare,,
lblContextActionStore,,Item Context Menu,,Store,,
lblContextActionRepair,,Item Context Menu,,Repair,,
lblContextActionBurn,,Item Context Menu,,Burn,,
lblContextActionSplit,,Item Context Menu,,Split,,
lblContextHeaderItemDetails,,Item Context Menu,,Item Details,,
lblContextHeaderCategories,,Item Context Menu,,Categories,,
lblContextCraftBasics,,Item Context Menu,,Basics,,
lblContextCraftBuilding,,Item Context Menu,,Building,,
lblContextCraftResources,,Item Context Menu,,Resources,,
lblContextCraftAmmoWeapons,,Item Context Menu,,Ammo/Weapons,,
lblContextCraftToolsTraps,,Item Context Menu,,Tools/Traps,,
lblContextCraftFoodCooking,,Item Context Menu,,Food/Cooking,,
lblContextCraftMedicine,,Item Context Menu,,Medicine,,
lblContextCraftClothing,,Item Context Menu,,Clothing,,
lblContextCraftForgingMolds,,Item Context Menu,,Forging/Molds,,
lblContextCraftFurnitureDecor,,Item Context Menu,,Furniture/Decor,,
lblContextCraftMiscellaneous,,Item Context Menu,,Miscellaneous,,
lblContextCraftBrowse,,Item Context Menu,,Browse,,
lblContextCraftCount,,Item Context Menu,,Count,,
lblContextActionLoad,,Item Context Menu,,Load,,
lblContextActionAttach,,Item Context Menu,,Attach,,
backpackDropped,,Menu,,Dropped Backpack,,
breakdownWeapon,,Menu,,Breakdown Item,,
btnApply,,Menu,,UpêâeàêmÞ,,
btnBack,,Menu,,Haáaç,,
btnCancel,,Menu,,Omâeàa,,
btnConfigControls,,Menu,,Yûpaåÿeàêe,,
btnConfirm,,Menu,,Ok,,
btnConnectToServer,,Menu,,Cemeåaè Nöpa,,
btnContinue,,Menu,,UpoçoÿéêmÞ,,
btnContinueGame,,Menu,,UpoçoÿéêmÞ,,
btnCreateWorld,,Menu,,CoáçamÞ Mêp,,
btnCredits,,Menu,,Têmpù,,
btnDelete,,Menu,,YçaÿêmÞ,,
btnExit,,Menu,,Bùxoç,,
btnMoreInfo,,Menu,,Info,,
btnMyAccount,,Menu,,Akkayàm,,
btnNewGame,,Menu,,Hoåaè,,
btnOffline,,Menu,,Oþþÿaóà,,
btnOk,,Menu,,Ok,,
btnDefaults,,Menu,,Uo yâoÿãaàêø,,
btnOptions,,Menu,,Hacmpoókê,,
btnOptionsAudio,,Menu,,3åyk,,
btnOptionsControls,,Menu,,Yûpaåÿeàêe,,
btnOptionsNetwork,,Menu,,CemÞ,,
btnOptionsPlayer,,Menu,,Hacmpoókê Nöpokoå,,
btnOptionsVideo,,Menu,,Fpaþêka,,
btnRentServer,,Menu,,Apeàça Cepåepa,,
btnReset,,Menu,,Uo yâoÿãaàêø,,
btnResetGameOptions,,Menu,,Uo yâoÿãaàêø,,
btnRetry,,Menu,,Uoåmop,,
btnStart,,Menu,,Cmapm,,
cbReflectedShadows,,Menu,,Reflected Shadows,,
cbTonemapping,,Menu,,Tonemapping,,
cbDOF,,Menu,,DOF,,
cbDynamicContrast,,Menu,,Dynamic Contrast,,
cbSunShafts,,Menu,,Sun Shafts,,
cbShowCrosshair,,Menu,,Show Crosshair,,
cbShowCompass,,Menu,,Show Compass,,
cbBloom,,Menu,,Bloom,,
cbEnableDeferredLighting,,Menu,,High quality light,,
cbEnableImageEffects,,Menu,,Enable Image Effects,,
cbSSAO,,Menu,,SSAO,,
cbEnableVoiceChat,,Menu,,Enable voice chat,,
cbxAnimals,,Menu,,Animals,,
cbxAutologin,,Menu,,Autologin,,
cbxBiomes,,Menu,,Biomes,,
cbxCreateEmptyWorld,,Menu,,Create Empty,,
cbxDedicatedServer,,Menu,,Dedicated Server,,
cbxDynamic,,Menu,,Dynamic,,
cbxInvertMouse,,Menu,,Invert Mouse,,
cbxPOIs,,Menu,,POIs,,
cbxWaterQuality,,Menu,,Water Quality:,,
cbxSelectWorld,,Menu,,Select World:,,
containerLocked,,Menu,,Container Locked,,
containerUnlocked,,Menu,,Container Unlocked,,
doorLocked,,Menu,,Door Locked,,
doorUnlocked,,Menu,,Door Unlocked,,
eacDisconnected,,Menu,,Connection lost,,
eacIntegrityViolation,,Menu,,Integrity violation,,
eacNetError,,Menu,,Network error,,
eacUnknown,,Menu,,Unknown state,,
eacUnableToPlayOnProtected,,Menu,,You ion.,,
forgeFuel,,Menu,,Fire burn time:,,
forgeFuelBurnTime,,Menu,,{0}:{1},,
forgeInputBrass,,Menu,,Brass,,
forgeInputGlass,,Menu,,Glass,,
forgeInputIron,,Menu,,Iron,,
forgeInputLead,,Menu,,Lead,,
forgeInputStone,,Menu,,Stone,,
forgeInputTungsten,,Menu,,Tungsten,,
forgeInputType,,Menu,,{0},,
forgeInputTypePrefix,,Menu,,Material needed:,,
forgeInputWeight,,Menu,,Amount: {0},,
forgeMetalNeeded,,Menu,,Mold Capacity:,,
forgeMoldCapacity,,Menu,,Capacity: {0},,
forgeMoldTime,,Menu,,Time: {0}:{1},,
forgeOutputWeight,,Menu,,{0},,
friendInviteAccepted,,Menu,,Acceptedm {0}.,,
friendInviteAccepted2,,Menu,,{0} accest.,,
friendInviteDeclined,,Menu,,Declined m {0}.,,
friendInviteDeclined2,,Menu,,{0} dest.,,
friendInviteReceived,,Menu,,Friend invite received from {0}.,,
friendRemoved,,Menu,,{0} was removed from your friends list.,,
friendRemoved2,,Menu,,{0} removed yds list.,,
friendSentInvite,,Menu,,Friend invite sent to {0}.,,
friendTracked,,Menu,,Tracking {0},,
friendUntracked,,Menu,,Not tracking {0} any more,,
gmCreative,,Menu,,Creative,,
gmCreativeDesc,,Menu,,Creative mode,,
gmDeathmatch,,Menu,,Deathmatch,,
gmDeathmatchDesc,,Menu,,bla bla bla,,
gmEditWorld,,Menu,,Edit,,
gmEditWorldDesc,,Menu,,Edit world mode,,
gmSurvival,,Menu,,Survival,,
gmSurvivalDesc,,Menu,,The stock siane.,,
gmSurvivalMP,,Menu,,Survival MP,,
gmSurvivalPvP,,Menu,,Survival PvP,,
gmSurvivalSP,,Menu,,Survival SP,,
gmZombieDesc,,Menu,,blub blub blub,,
gmZombieHorde,,Menu,,Zombie Horde,,
goAirDropFrequency,,Menu,,Air Drops,,
goAirDropFrequencyDesc,,Menu,,How ours.,,
goAirDropValue,,Menu,,Every {0} day(s),,
goAirDropValues,,Menu,,Every {0} day(s),,
goAll,,Menu,,Everything,,
goBackpack,,Menu,,Backpack Only,,
goBlockDurability,,Menu,,Block Durability,,
goBlockDurabilityDesc,,Menu,,The re.,,
goBlockDurabilityValue,,Menu,,{0}%,,
goBlockDurabilityValues,,Menu,,{0}%,,
goBuildCreate,,Menu,,Cheat Mode:,,
goBuildCreateDesc,,Menu,,Sets if creative mode and tools are allowed.,,
goCategoryAdvancedOptions,,Menu,,Modded Options,,
goCategoryGameOptions,,Menu,,Standard Options,,
goCategoryMultiplayer,,Menu,,Multiplayer,,
goCraftTimer,,Menu,,Craft Timer,,
goCraftTimerDesc,,Menu,,This is the amount oed.,,
goDay,,Menu,,{0} Day,,
goDayCount,,Menu,,Match Length:,,
goDayCountDesc,,Menu,,Number of days per match.,,
goDayLightLength,,Menu,,Daylight Length,,
goDayLightLengthDesc,,Menu,,How many hours the sun shines per day.,,
goDayLightLengthValue,,Menu,,{0},,
goDayLightLengthValues,,Menu,,{0},,
goDayLength,,Menu,,24 Hour Cycle:,,
goDayLengthDesc,,Menu,,How long it takes for 24 hours to pass in the game.,,
goDays,,Menu,,{0} Days,,
goDeleteAll,,Menu,,Delete All,,
goDifficulty,,Menu,,Difficulty Settings,,
goDifficulty1,,Menu,,Scavenger,,
goDifficulty2,,Menu,,Adventurer,,
goDifficulty3,,Menu,,Nomad,,
goDifficulty4,,Menu,,Warrior,,
goDifficulty5,,Menu,,Survivalist,,
goDifficulty6,,Menu,,Insane,,
goDifficultyDesc,,Menu,,\nChoose fromve Mother!,,
goDisabled,,Menu,,Disabled,,
goDropOnDeath,,Menu,,Drop On Death,,
goDropOnDeathDesc,,Menu,,"Drop everything, eath.",,
goDropOnQuit,,Menu,,Drop On Quit,,
goDropOnQuitDesc,,Menu,,"Drop nothing, eveorld.",,
goEnemyDifficulty,,Menu,,Enemy Aggression,,
goEnemyDifficultyDesc,,Menu,,Controls ven through walls at night.,,
goEnemyDifficultyFeral,,Menu,,Feral,,
goEnemyDifficultyNormal,,Menu,,Normal,,
goEnemySenseMemory,,Menu,,Enemy Memory,,
goEnemySenseMemoryDesc,,Menu,,This is the timworld.,,
goEnemySpawn,,Menu,,Enemy Spawning:,,
goEnemySpawnDesc,,Menu,,Enemy Spawning On:\nAdds.,,
goEnemySpawnMode,,Menu,,Enemy Spawning,,
goEnemySpawnModeDesc,,Menu,,"This is the a%, Medium 100%, High 125%, Very High 150%",,
goFast,,Menu,,Fast,,
goFrag,,Menu,,{0} Frag,,
goFragLimit,,Menu,,Frag Limit:,,
goFragLimitDesc,,Menu,,Frag Limit is the number of kills a player needs to win or end the match.,,
goFrags,,Menu,,{0} Frags,,
goFriendlyFire,,Menu,,Friendly Fire,,
goFriendlyFireDesc,,Menu,,Friendly Fire On:\nPlayes cannot damage the friends in their group.,,
goGameMode,,Menu,,Game Mode:,,
